environment,model_seed,family,variable,off_representation,off_mode,on_representation,on_mode,off_r2,off_r2_ci_low,off_r2_ci_high,on_r2,on_r2_ci_low,on_r2_ci_high,on_minus_off_r2,on_minus_off_r2_ci_low,on_minus_off_r2_ci_high,bootstrap_unit,interval
pusht,0,dino,block_acceleration,dino/11/projected_aggregate,second_delta,dino/11/projected_aggregate,second_delta,0.38762336824960597,0.3572905099935888,0.4154877057026508,0.4140959095099144,0.38897005779056903,0.4375537369641348,0.026472541260308402,0.0008382575749130904,0.051350823362234704,paired_complete_trajectory_window,95_percentile
pusht,0,dino,block_angular_acceleration,dino/6/pooled_patches,frame,dino/6/pooled_patches,frame,0.05432758278705496,0.038264800136632145,0.07013999935082942,0.05432758278705496,0.038264800136632145,0.07013999935082942,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
pusht,0,dino,block_angular_velocity,dino/8/cls,frame,dino/8/cls,frame,0.30366967704954184,0.27674389946018585,0.3274864392659097,0.30366967704954184,0.27674389946018585,0.3274864392659097,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
pusht,0,dino,block_orientation,dino/7/pooled_patches,frame,dino/7/pooled_patches,frame,0.8283878289755883,0.8215066139291273,0.8343914338909759,0.8283878289755883,0.8215066139291273,0.8343914338909759,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
pusht,0,dino,block_position,dino/8/pooled_patches,frame,dino/8/pooled_patches,frame,0.9609424967065645,0.958857844495078,0.9628802724871545,0.9609424967065645,0.958857844495078,0.9628802724871545,0.0,0.0,0.0,paired_complete_trajectory_window,95_percentile
pusht,0,dino,block_velocity,dino/11/projected_aggregate,delta,dino/11/projected_aggregate,delta,0.6526498096739981,0.6294266065096137,0.6718154536935345,0.6326531941547926,0.615274423791377,0.6473426676653624,-0.019996615519205507,-0.03444417357550614,-0.005306791165081341,paired_complete_trajectory_window,95_percentile
pusht,0,predictor,agent_acceleration,predictor/0/pooled_visual,frame,predictor/0/pooled_visual,frame,0.01588329971033653,0.012342941442362915,0.01881269824382155,0.042874295095416626,0.035813856032098156,0.049038117505281094,0.026990995385080097,0.020305655536685976,0.03389598411326225,paired_complete_trajectory_window,95_percentile
pusht,0,predictor,agent_position,predictor/0/pooled_visual,frame,predictor/0/pooled_visual,frame,0.2963129574310579,0.2803771014531439,0.31149707965120577,0.3358173279782596,0.32078982893709296,0.3489344895267123,0.039504370547201684,0.02370789954076305,0.05452270945750332,paired_complete_trajectory_window,95_percentile
pusht,0,predictor,agent_velocity,predictor/2/pooled_visual,frame,predictor/2/pooled_visual,frame,0.034195512788378624,0.02859068538369177,0.039487823149065904,0.07189977748070309,0.0639621715312803,0.07889108191112779,0.03770426469232446,0.02860880816051135,0.046330026627837265,paired_complete_trajectory_window,95_percentile
pusht,0,predictor,block_acceleration,predictor/2/pooled_visual,frame,predictor/2/pooled_visual,frame,0.01047991431254558,0.003634132161892012,0.01635152413187539,0.00979793902361048,0.0024252574654574114,0.016509567094436003,-0.0006819752889350994,-0.00895793918153199,0.007339429404132832,paired_complete_trajectory_window,95_percentile
pusht,0,predictor,block_angular_acceleration,predictor/2/pooled_visual,frame,predictor/2/pooled_visual,frame,0.0032252455104317956,-0.0027607917812379535,0.008872174580095163,0.005626167352947964,0.00035588060273661625,0.010126567613306632,0.0024009218425161682,-0.004835845217318646,0.009302452435217037,paired_complete_trajectory_window,95_percentile
pusht,0,predictor,block_angular_velocity,predictor/3/pooled_visual,frame,predictor/3/pooled_visual,frame,0.051707374793946825,0.04040272502200816,0.0619799625567408,0.11937336419272793,0.10148950753661166,0.13449574415362914,0.0676659893987811,0.05395260143437117,0.0807476317567544,paired_complete_trajectory_window,95_percentile
pusht,0,predictor,block_orientation,predictor/5/pooled_visual,frame,predictor/5/pooled_visual,frame,0.34226480267313897,0.3264404540890587,0.3588147575125974,0.4099779503291857,0.3948238685782423,0.42452547150973513,0.06771314765604675,0.055105806667701936,0.07973266688109083,paired_complete_trajectory_window,95_percentile
pusht,0,predictor,block_position,predictor/5/pooled_visual,frame,predictor/5/pooled_visual,frame,0.3717397963209794,0.35222805449058653,0.3917271812585703,0.4161580535131687,0.3971220107241569,0.43505771285794426,0.04441825719218928,0.028205310157219256,0.06282618690963528,paired_complete_trajectory_window,95_percentile
pusht,0,predictor,block_velocity,predictor/2/pooled_visual,frame,predictor/2/pooled_visual,frame,0.06122902048098189,0.05034853393978154,0.07141013458703321,0.08424145663840787,0.0729239595704776,0.09437806042688862,0.023012436157425986,0.00992176341272521,0.03721233894202231,paired_complete_trajectory_window,95_percentile
